Year,Month,Day,UFC_Number,Opponent1,Opponent2,PPV
2001,9,28,33,Ortiz,Matyushenko,75000
2001,11,2,34,Couture,Rizzo,65000
2002,1,11,35,Pulver,Penn,35000
2002,3,22,36,Couture,Barnett,55000
2002,5,10,37,Lindland,Bustamante,50000
2002,7,13,38,Hughes,Newton,45000
2002,9,27,39,Couture,Rodriguez,45000
2002,11,22,40,Ortiz,Shamrock,100000
2003,2,28,41,Rodriguez,Sylvia,60000
2003,4,25,42,Hughes,Sherk,35000
2003,6,6,43,Couture,Liddell,49000
2003,9,26,44,Couture,Ortiz,94000
2003,11,21,45,Hughes,Trigg,40000
2004,1,31,46,Couture,Belfort,80000
2004,4,2,47,Ortiz,Liddell,105000
2004,6,19,48,Shamrock,Kimo,110000
2004,8,21,49,Couture,Belfort,80000
2004,10,22,50,Ortiz,Cote,40000
2005,2,5,51,Ortiz,Belfort,105000
2005,4,16,52,Couture,Liddell,280000
2005,6,4,53,Arlovski,Eilers,90000
2005,8,20,54,Liddell,Horn,150000
2005,10,7,55,Arlovski,Buentello,125000
2005,11,19,56,Franklin,Quarry,200000
2006,2,4,57,Couture,Liddell,400000
2006,3,4,58,Franklin,Loiseau,300000
2006,4,15,59,Ortiz,Griffin,425000
2006,5,27,60,Hughes,Gracie,620000
2006,7,8,61,Ortiz,Shamrock,775000
2006,8,26,62,Liddell,Sobral,500000
2006,9,23,63,Hughes,Penn,400000
2006,10,14,64,Franklin,Silva,300000
2006,11,18,65,Hughes,GSP,500000
2006,12,30,66,Liddell,Ortiz,1050000
2007,2,3,67,Silva,Lutter,400000
2007,3,3,68,Sylvia,Couture,540000
2007,4,7,69,GSP,Serra,400000
2007,5,21,71,Liddell,Jackson,675000
2007,6,16,72,Franklin,Okami,200000
2007,7,7,73,Ortiz,Evans,425000
2007,8,25,74,Couture,Gonzaga,520000
2007,9,22,76,Liddel,Jardine,475000
2007,10,20,77,Franklin,Silva,325000
2007,11,17,78,Evans,Bisbing,325000
2007,12,29,79,GSP,Hughes,650000
2008,1,19,80,Penn,Stevenson,225000
2008,2,2,81,Sylvia,Nog,600000
2008,3,1,82,Silva,Henderson,325000
2008,4,19,83,GSP,Serra,530000
2008,5,24,84,Penn,Sherk,475000
2008,6,7,85,Hughes,Alves,215000
2008,7,5,86,Griffin,Jackson,540000
2008,8,9,87,GSP,Fitch,625000
2008,9,6,88,Liddell,Evans,480000
2008,10,25,90,Silva,Cote,300000
2008,11,15,91,Lesnar,Couture,1010000
2008,12,27,92,Griffin,Evans,1000000
2009,1,17,93,Franklin,Henderson,350000
2009,1,31,94,GSP,Penn,920000
2009,3,7,96,Jackson,Jardine,350000
2009,4,18,97,Silva,Leites,650000
2009,5,23,98,Evans,Machida,635000
2009,6,13,99,Franklin,Silva,360000
2009,7,11,100,Lesnar,Mir,1600000
2009,8,8,101,Penn,Florian,850000
2009,8,29,102,Couture,Nogueira,435000
2009,9,19,103,Franklin,Belfort,375000
2009,10,24,104,Machida,Rua,500000
2009,11,21,106,Ortiz,Griffin,375000
2009,12,12,107,Penn,Sanchez,620000
2010,1,2,108,Evans,T.Silva,300000
2010,2,6,109,Couture,Coleman,275000
2010,2,21,110,Nogueria,Velasquez,240000
2010,3,27,111,GSP,Hardy,770000
2010,4,10,112,Silva,Maia,500000
2010,5,8,113,Machida,Rua,520000
2010,5,29,114,Evans,Jackson,1000000
2010,6,12,115,Liddell,Franklin,525000
2010,7,3,116,Lesnar,Carwin,1060000
2010,8,7,117,Silva,Sonnen,600000
2010,8,28,118,Edgar,Penn,535000
2010,9,25,119,Mir,Cro Cop,295000
2010,10,23,121,Lesnar,Velasquez,900000
2010,11,20,123,Jackson,Machida,500000
