"Winner","Bcurrentlosestreak","Bcurrentwinstreak","Blongestwinstreak","Blosses","Btotalroundsfought","Btotaltitlebouts","BwinbyDecisionMajority","BwinbyDecisionSplit","BwinbyDecisionUnanimous","BwinbyKOTKO","BwinbySubmission","BwinbyTKODoctorStoppage","Bwins","BHeightcms","BReachcms","BWeightlbs","Rcurrentlosestreak","Rcurrentwinstreak","Rlongestwinstreak","Rlosses","Rtotalroundsfought","Rtotaltitlebouts","RwinbyDecisionMajority","RwinbyDecisionSplit","RwinbyDecisionUnanimous","RwinbyKOTKO","RwinbySubmission","RwinbyTKODoctorStoppage","Rwins","RHeightcms","RReachcms","RWeightlbs","Bage","Rage","BStanceOpen.Stance","BStanceOrthodox","BStanceSideways","BStanceSouthpaw","BStanceSwitch","RStanceOpen.Stance","RStanceOrthodox","RStanceSideways","RStanceSouthpaw","RStanceSwitch"
"Red",0,4,4,1,9,0,0,1,0,2,1,0,4,167.64,170.18,135,0,4,4,2,27,3,0,2,4,2,0,0,8,162.56,162.56,135,31,32,0,1,0,0,0,0,1,0,0,0
"Red",0,3,3,6,29,0,0,2,1,0,0,1,4,167.64,167.64,125,0,2,2,2,25,2,0,1,2,0,2,0,5,165.1,167.64,125,32,31,0,1,0,0,0,0,0,0,1,0
"Red",0,3,8,8,68,1,0,0,7,10,6,0,23,185.42,185.42,155,0,11,11,1,33,2,0,1,3,3,6,1,14,180.34,193.04,155,36,35,0,1,0,0,0,0,1,0,0,0
"Blue",0,4,4,0,9,0,0,0,2,2,0,0,4,170.18,170.18,135,1,0,5,2,20,0,0,1,4,1,0,0,6,162.56,172.72,135,26,29,0,0,0,0,1,0,1,0,0,0
"Blue",0,1,1,1,8,0,0,0,1,0,0,0,1,180.34,185.42,250,1,0,3,1,7,0,0,0,1,2,0,0,3,187.96,190.5,264,32,26,0,0,0,1,0,0,0,0,1,0
"Red",0,3,4,4,23,0,0,0,2,3,3,0,8,167.64,165.1,135,0,3,4,3,32,0,0,0,5,1,3,0,9,170.18,180.34,135,32,29,0,1,0,0,0,0,1,0,0,0
"Blue",1,0,1,2,10,0,0,1,1,0,0,0,2,165.1,167.64,115,2,0,3,4,25,1,0,2,3,0,0,0,5,160.02,162.56,115,25,33,0,1,0,0,0,0,1,0,0,0
"Blue",0,1,2,1,10,0,0,0,1,2,0,0,3,180.34,182.88,145,0,1,4,5,34,1,0,0,3,4,3,0,10,172.72,180.34,145,31,37,0,1,0,0,0,0,1,0,0,0
"Red",0,1,1,6,26,0,0,0,4,0,0,0,4,160.02,162.56,115,0,3,3,0,9,0,0,0,3,0,0,0,3,165.1,160.02,115,34,29,0,1,0,0,0,0,1,0,0,0
"Blue",1,0,2,5,14,0,0,0,0,2,0,0,2,182.88,187.96,185,1,0,0,1,3,0,0,0,0,0,0,0,0,190.5,200.66,185,28,28,0,1,0,0,0,0,1,0,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,172.72,135,2,0,2,7,29,1,0,1,0,4,0,0,5,170.18,175.26,135,35,34,0,0,0,0,1,0,1,0,0,0
