"Winner","B_current_win_streak","R_Reach_cms","R_losses","B_current_lose_streak","R_Stance_Southpaw","B_Stance_Southpaw","R_Stance_Switch","R_win_by_Submission","B_win_by_Decision_Split","B_Stance_Switch","R_Stance_Open_Stance"
"Red",4,162.56,2,0,0,0,0,0,1,0,0
"Red",3,167.64,2,0,1,0,0,2,2,0,0
"Red",3,193.04,1,0,0,0,0,6,0,0,0
"Blue",4,172.72,2,0,0,0,0,0,0,1,0
"Blue",1,190.5,1,0,1,1,0,0,0,0,0
"Red",3,180.34,3,0,0,0,0,3,0,0,0
"Blue",0,162.56,4,1,0,0,0,0,1,0,0
"Blue",1,180.34,5,0,0,0,0,3,0,0,0
"Red",1,160.02,0,0,0,0,0,0,0,0,0
"Blue",0,200.66,1,1,0,0,0,0,0,0,0
"Red",0,175.26,7,0,0,0,0,0,0,1,0
"Red",2,172.72,2,0,0,0,0,0,0,0,0
"Blue",0,200.66,5,1,0,0,0,2,0,0,0
"Blue",3,200.66,5,0,0,0,0,0,0,0,0
"Red",1,182.88,1,0,1,0,0,1,0,0,0
"Blue",1,177.8,2,0,0,0,0,0,0,0,0
"Red",0,175.26,3,0,0,0,0,0,0,0,0
"Blue",0,182.88,0,0,0,0,1,0,0,0,0
"Blue",0,177.8,2,1,0,0,0,0,0,0,0
"Blue",4,177.8,3,0,1,0,0,0,1,0,0
"Blue",0,167.64,3,2,1,0,0,0,1,0,0
"Red",0,187.96,0,0,0,0,0,0,0,0,0
"Blue",0,193.04,0,1,0,0,0,0,0,0,0
"Red",0,195.58,1,0,0,1,0,0,0,0,0
"Red",0,177.8,9,1,1,0,0,3,1,0,0
"Blue",1,200.66,3,0,0,0,0,4,0,0,0
"Blue",0,182.88,1,0,0,0,0,0,0,0,0
"Red",0,190.5,2,0,0,0,0,3,0,0,0
"Red",2,187.96,9,0,0,0,0,13,2,0,0
"Red",0,177.8,1,0,0,0,0,3,0,0,0
"Red",0,185.42,3,0,1,0,0,0,0,1,0
"Blue",0,187.96,3,0,1,0,0,1,0,0,0
"Blue",1,180.34,0,0,0,0,0,0,0,1,0
"Blue",0,193.04,6,3,0,0,0,0,1,0,0
"Red",2,190.5,3,0,1,0,0,3,0,0,0
"Red",0,177.8,1,3,1,1,0,1,1,0,0
"Blue",3,165.1,2,0,0,0,0,3,1,0,0
"Red",0,195.58,4,1,0,1,1,0,0,0,0
"Blue",6,177.8,3,0,0,0,0,0,0,0,0
"Blue",1,177.8,10,0,0,0,0,1,0,0,0
"Red",0,172.72,2,2,0,0,0,0,2,0,0
"Blue",1,190.5,5,0,1,0,0,0,0,0,0
"Red",0,177.8,1,3,0,0,0,0,0,0,0
"Red",0,182.88,3,1,0,0,0,3,2,0,0
"Blue",0,177.8,14,1,0,0,0,4,3,0,0
"Red",0,175.26,0,2,0,0,0,0,0,0,0
"Red",0,170.18,0,0,0,1,0,1,0,0,0
"Blue",0,172.72,2,0,0,0,0,0,0,0,0
"Blue",2,177.8,3,0,0,0,0,0,0,0,0
"Red",3,195.58,5,0,1,0,0,1,1,0,0
