"Bcurrentlosestreak","Bcurrentwinstreak","Blongestwinstreak","Blosses","Btotalroundsfought","Btotaltitlebouts","BwinbyDecisionMajority","BwinbyDecisionSplit","BwinbyDecisionUnanimous","BwinbyKOTKO","BwinbySubmission","BwinbyTKODoctorStoppage","Bwins","BHeightcms","BReachcms","BWeightlbs","Bage"
0,4,4,1,9,0,0,1,0,2,1,0,4,167.64,170.18,135,31
0,3,3,6,29,0,0,2,1,0,0,1,4,167.64,167.64,125,32
0,3,8,8,68,1,0,0,7,10,6,0,23,185.42,185.42,155,36
0,4,4,0,9,0,0,0,2,2,0,0,4,170.18,170.18,135,26
0,1,1,1,8,0,0,0,1,0,0,0,1,180.34,185.42,250,32
0,3,4,4,23,0,0,0,2,3,3,0,8,167.64,165.1,135,32
1,0,1,2,10,0,0,1,1,0,0,0,2,165.1,167.64,115,25
0,1,2,1,10,0,0,0,1,2,0,0,3,180.34,182.88,145,31
0,1,1,6,26,0,0,0,4,0,0,0,4,160.02,162.56,115,34
1,0,2,5,14,0,0,0,0,2,0,0,2,182.88,187.96,185,28
0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,172.72,135,35
0,2,2,3,18,0,0,0,3,1,1,0,5,167.64,165.1,125,33
1,0,3,4,27,1,0,0,1,5,1,0,7,193.04,193.04,205,30
0,3,3,0,7,0,0,0,2,1,0,0,3,193.04,198.12,205,27
0,1,1,1,3,0,0,0,0,0,1,0,1,172.72,172.72,145,26
0,1,1,3,10,0,0,0,1,0,1,0,2,177.8,180.34,155,29
0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,182.88,145,26
0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,187.96,170,27
1,0,1,3,13,0,0,0,2,0,0,0,2,170.18,165.1,135,37
0,4,4,1,14,1,0,1,1,1,2,0,5,182.88,190.5,155,39
2,0,1,2,8,0,0,1,0,0,0,0,1,177.8,185.42,170,30
0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,185.42,145,23
1,0,2,3,13,0,0,0,3,0,0,0,3,182.88,190.5,205,29
0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,187.96,155,24
1,0,5,4,36,1,0,1,3,1,4,1,10,175.26,195.58,170,26
0,1,1,0,3,0,0,0,1,0,0,0,1,180.34,182.88,185,30
0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,172.72,145,28
0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,182.88,170,31
0,2,4,8,59,0,0,2,7,3,2,0,14,172.72,172.72,155,34
0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,180.34,155,27
0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,175.26,155,23
0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,185.42,170,25
0,1,1,0,3,0,0,0,1,0,0,0,1,177.8,182.88,145,25
3,0,3,11,47,1,0,1,2,3,4,0,10,185.42,195.58,205,38
0,2,2,0,5,0,0,0,0,2,0,0,2,182.88,187.96,185,26
3,0,1,3,9,0,0,1,0,0,0,0,1,185.42,187.96,145,29
0,3,3,4,33,1,0,1,5,2,2,0,10,154.94,157.48,115,27
1,0,16,6,58,13,0,0,3,11,3,0,17,187.96,195.58,185,44
0,6,6,0,15,0,0,0,3,3,0,0,6,167.64,180.34,145,30
0,1,1,0,3,0,0,0,1,0,0,0,1,185.42,180.34,170,26
2,0,3,4,21,1,0,2,1,1,0,0,4,165.1,162.56,135,35
0,1,1,0,3,0,0,0,1,0,0,0,1,195.58,200.66,205,27
3,0,0,3,7,0,0,0,0,0,0,0,0,180.34,177.8,155,32
1,0,4,4,31,1,0,2,2,1,3,0,8,182.88,182.88,170,36
1,0,4,12,67,0,0,3,5,2,4,0,14,170.18,177.8,155,37
2,0,0,2,5,0,0,0,0,0,0,0,0,170.18,165.1,125,30
0,0,0,0,0,0,0,0,0,0,0,0,0,162.56,170.18,135,22
0,0,0,0,0,0,0,0,0,0,0,0,0,162.56,172.72,135,32
0,2,8,8,63,1,0,0,6,10,6,0,22,185.42,185.42,155,36
0,3,3,2,28,1,0,1,5,2,0,0,8,185.42,190.5,185,30
0,1,3,1,13,0,0,0,2,1,1,0,4,180.34,190.5,145,28
0,1,1,2,9,0,0,0,1,0,0,0,1,167.64,172.72,135,28
0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,198.12,260,24
0,1,2,2,15,1,0,0,3,0,0,0,3,185.42,187.96,185,31
1,0,0,1,3,0,0,0,0,0,0,0,0,170.18,177.8,135,28
0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,177.8,170,29
1,0,0,1,3,0,0,0,0,0,0,0,0,170.18,172.72,145,25
0,1,1,0,3,0,0,0,0,1,0,0,1,195.58,203.2,265,27
0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,170.18,135,30
0,3,3,2,13,0,0,0,1,3,2,0,6,185.42,195.58,185,30
2,0,0,2,3,0,0,0,0,0,0,0,0,187.96,187.96,253,36
1,0,2,4,20,0,0,1,0,4,0,0,5,177.8,180.34,170,27
0,2,2,2,11,0,0,0,1,2,0,0,3,185.42,190.5,205,25
0,3,3,0,5,0,0,0,0,2,1,0,3,180.34,177.8,135,27
0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,190.5,155,26
0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,170,28
0,1,1,0,3,0,0,0,0,1,0,0,1,190.5,195.58,265,27
0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,182.88,155,26
1,0,1,2,4,0,0,0,0,0,1,0,1,187.96,187.96,155,29
2,0,0,2,6,0,0,0,0,0,0,0,0,154.94,162.56,115,32
0,1,1,5,12,2,0,0,1,1,0,0,2,187.96,187.96,170,30
0,2,2,2,12,0,0,0,0,1,5,0,6,187.96,203.2,240,41
0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,182.88,155,22
2,0,1,2,7,0,0,0,0,0,1,0,1,190.5,190.5,249,26
0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,187.96,185,31
0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,187.96,145,26
0,1,1,6,29,0,0,2,0,0,2,0,4,180.34,185.42,170,34
0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,185.42,155,23
0,2,2,2,15,0,0,1,2,1,0,0,4,190.5,193.04,235,37
0,1,1,1,4,0,0,0,0,1,0,0,1,182.88,187.96,205,24
0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,180.34,155,26
0,3,4,5,45,0,1,0,4,8,3,0,16,175.26,182.88,155,30
0,5,5,0,14,0,0,1,2,2,0,0,5,193.04,203.2,185,29
1,0,2,4,11,1,0,0,0,3,0,0,3,185.42,193.04,205,29
0,1,1,1,4,0,0,0,0,1,0,0,1,185.42,193.04,170,34
2,0,5,4,15,0,0,0,0,3,3,0,6,190.5,195.58,205,27
2,0,0,2,4,0,0,0,0,0,0,0,0,175.26,180.34,155,28
0,2,2,1,13,0,0,1,1,0,2,0,4,165.1,170.18,125,28
0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,193.04,170,24
1,0,0,1,3,0,0,0,0,0,0,0,0,165.1,175.26,135,27
1,0,4,3,22,0,0,1,3,1,0,0,5,180.34,182.88,170,30
0,1,1,3,14,0,0,0,1,1,0,0,2,175.26,177.8,135,30
1,0,2,1,5,0,0,0,1,1,0,0,2,172.72,170.18,115,30
0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,185.42,135,24
0,1,1,2,10,0,0,0,0,2,0,0,2,180.34,177.8,155,30
0,2,2,2,12,0,0,0,1,3,1,0,5,185.42,195.58,185,30
0,2,4,9,50,1,0,1,6,4,0,0,11,177.8,185.42,145,32
0,2,2,2,15,0,0,1,1,0,2,0,4,160.02,157.48,115,33
0,2,2,1,9,0,0,1,1,0,0,0,2,172.72,182.88,145,28
1,0,1,3,10,0,0,0,1,0,0,0,1,160.02,160.02,115,36
1,0,1,3,15,0,0,1,1,0,0,0,2,177.8,185.42,155,29
1,0,2,2,9,0,0,0,0,1,3,0,4,185.42,195.58,185,31
0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,172.72,135,28
1,0,2,2,13,0,0,1,1,0,1,0,3,170.18,170.18,125,27
0,2,2,1,7,0,0,1,0,0,1,0,2,167.64,165.1,135,24
