"k_value","avg_accuracy","pca_k_value","pca_avg_accuracy"
1,58.5849870578085,1,59.1544434857636
2,59.0221455277538,2,60.5464480874317
3,61.2597066436583,3,62.0017256255393
4,61.251078515962,4,61.9700891573195
5,62.5021570319241,5,62.7034800115042
6,62.9105550762151,6,63.5490365257406
7,64.5786597641645,7,64.3629565717573
8,64.3054357204487,8,64.0120793787748
9,65.4558527466206,9,63.6094334196146
10,66.2668967500719,10,63.4570031636468
11,67.2993960310613,11,64.2507909117055
12,66.4797238999137,12,65.3034224906529
13,67.2993960310613,13,65.6514236410699
14,67.8515962036238,14,66.6465343687087
15,68.7661777394305,15,66.3129134311188
16,68.3117630140926,16,66.5803853897038
17,67.9033649698016,17,66.3761863675582
18,67.6100086281277,18,67.2562553925798
19,68.2830025884383,19,67.4144377336785
20,67.5898763301697,20,67.4288179465056
21,67.7221742881795,21,67.3454127121081
22,67.8084555651424,22,67.719298245614
23,68.2484900776531,23,68.0155306298533
24,68.0155306298533,24,67.7423065861375
25,67.7308024158758,25,67.9580097785447
26,68.0989358642508,26,67.986770204199
27,68.461317227495,27,68.2082254817371
28,68.1880931837791,28,68.0126545872879
29,67.9033649698015,29,68.153580672994
30,68.1650848432557,30,68.19384526891
31,67.8142076502732,31,67.8947368421053
32,68.213977566868,32,68.3894161633592
33,68.5447224618924,33,68.501581823411
34,68.4095484613172,34,68.2082254817371
35,68.5073339085419,35,68.6597641645096
36,68.1564567155594,36,68.6051193557665
37,68.5073339085419,37,68.5878631003739
38,68.0212827149842,38,68.6885245901639
39,67.6445211389129,39,68.4268047167098
40,68.027034800115,40,68.769053781996
41,67.3856773080242,41,68.582111015243
42,67.7279263733103,42,69.0221455277538
43,67.9033649698015,43,69.0681622088007
44,67.9292493528904,44,68.9703767615761
45,67.9896462467645,45,68.789186079954
46,68.3261432269198,46,68.8352027610009
47,68.2484900776532,47,69.0336496980155
48,68.6683922922059,48,69.4909404659189
49,68.7661777394305,49,69.5455852746621
50,68.3807880356629,50,69.7699165947656
51,68.4210526315789,51,69.4104112740869
52,68.4066724187518,52,69.4276675294794
53,68.1995973540408,53,69.5714696577509
54,68.2111015243026,54,69.2551049755536
55,68.3836640782284,55,69.4075352315214
56,68.5073339085419,56,69.4736842105263
57,68.7661777394305,57,69.1515674431982
58,68.4929536957147,58,69.3327581248202
59,68.7661777394305,59,69.4104112740869
60,68.6655162496405,60,69.4391716997412
61,68.5936151855047,61,69.4017831463906
62,68.9818809318378,62,69.4276675294794
63,68.9847569744032,63,69.4564279551337
64,69.0048892723612,64,69.5398331895312
65,69.0250215703192,65,69.505320678746
66,69.0537819959735,66,69.6893874029336
67,68.8524590163934,67,69.5858498705781
68,68.7978142076503,68,69.3097497842968
69,68.7661777394305,69,69.3298820822548
70,68.9387402933563,70,69.3327581248202
71,69.1113028472821,71,69.2378487201611
72,69.056658038539,72,69.2349726775956
73,68.9387402933563,73,69.197584124245
74,69.056658038539,74,69.2148403796376
75,69.1113028472821,75,69.2407247627265
76,69.076790336497,76,69.3327581248202
77,69.0250215703192,77,69.3298820822548
78,68.8467069312626,78,69.4736842105263
79,69.0250215703192,79,69.4305435720449
80,68.8725913143515,80,69.4593039976992
