"Fighter_ID","Fighter","Date","current_lose_streak","current_win_streak","longest_win_streak","losses","total_rounds_fought","total_title_bouts","win_by_Decision_Majority","win_by_Decision_Split","win_by_Decision_Unanimous","win_by_KO_TKO","win_by_Submission","win_by_TKO_Doctor_Stoppage","wins","Height_cms","Reach_cms","Weight_lbs","age","Stance_Open_Stance","Stance_Orthodox","Stance_Southpaw","Stance_Switch"
1,"Aaron Brink","2000-11-17",0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,195.742360937783,205,26,0,1,0,0
2,"Aaron Phillips","2014-08-23",1,0,0,1,3,0,0,0,0,0,0,0,0,175.26,177.8,135,25,0,0,1,0
3,"Aaron Riley","2013-07-27",1,0,1,5,17,0,0,0,3,0,0,0,3,172.72,175.26,155,32,0,0,1,0
4,"Aaron Rosa","2012-03-02",0,1,1,1,6,0,1,0,0,0,0,0,1,193.04,198.12,205,28,0,1,0,0
5,"Aaron Simpson","2012-10-05",0,1,3,3,26,0,0,1,4,2,0,0,7,182.88,185.42,170,38,0,1,0,0
6,"Abdul Razak Alhassan","2018-09-08",0,2,2,1,6,0,0,0,0,3,0,0,3,177.8,185.42,170,33,0,1,0,0
7,"Abdul-Kerim Edilov","2017-09-02",0,0,0,0,0,0,0,0,0,0,0,0,0,187.96,198.12,205,25,0,1,0,0
8,"Abel Trujillo","2017-12-16",1,0,3,4,21,0,0,0,1,3,1,0,6,172.72,177.8,155,34,0,1,0,0
9,"Abu Azaitar","2018-07-22",0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,193.04,185,32,0,1,0,0
10,"Adam Milstead","2018-12-15",2,0,1,2,7,0,0,0,0,1,0,0,1,190.5,193.04,205,31,0,1,0,0
11,"Adam Wieczorek","2018-11-03",0,2,2,0,5,0,0,0,1,0,1,0,2,195.58,205.74,250,26,0,1,0,0
12,"Adam Yandiev","2018-09-15",0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,187.96,185,30,0,1,0,0
13,"Adlan Amagov","2013-10-19",0,1,1,0,3,0,0,0,1,0,0,0,1,187.96,193.04,170,26,0,1,0,0
14,"Adriano Martins","2017-09-09",1,0,3,2,11,0,0,1,0,2,1,0,4,177.8,182.88,155,34,0,0,1,0
15,"Aiemann Zahabi","2019-05-04",1,0,1,1,6,0,0,0,1,0,0,0,1,172.72,172.72,135,31,0,1,0,0
16,"Akbarh Arreola","2015-11-14",1,0,1,2,7,0,0,0,0,0,1,0,1,177.8,180.34,155,32,0,0,1,0
17,"Akihiro Gono","2009-01-31",1,0,1,1,5,0,0,0,0,0,1,0,1,170.18,172.72,170,34,0,0,0,1
18,"Akira Corassani","2015-01-24",2,0,3,2,10,0,0,1,1,0,0,0,3,172.72,172.72,145,32,0,1,0,0
19,"Al Iaquinta","2019-05-04",0,1,5,3,33,2,0,1,4,4,0,0,9,177.8,177.8,155,32,0,1,0,0
20,"Alan Belcher","2013-04-27",1,0,4,5,28,0,0,1,0,4,3,1,9,187.96,185.42,185,29,0,1,0,0
21,"Alan Jouban","2019-04-13",0,1,3,4,21,0,0,0,3,4,0,0,7,182.88,185.42,170,37,0,0,1,0
22,"Alan Omer","2015-06-20",1,0,0,1,3,0,0,0,0,0,0,0,0,177.8,180.34,145,26,0,1,0,0
