Fighter_ID,Fighter,Date,current_lose_streak,current_win_streak,longest_win_streak,losses,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO_TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Height_cms,Reach_cms,Weight_lbs,age,Stance_Open_Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch,fighter_img_path
1,Aaron Brink,17/11/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,195.7423609,205,26,0,1,0,0,images/vikas.jpeg
2,Aaron Phillips,23/08/2014,1,0,0,1,3,0,0,0,0,0,0,0,0,175.26,177.8,135,25,0,0,1,0,images/mufi.jpeg
3,Aaron Riley,27/07/2013,1,0,1,5,17,0,0,0,3,0,0,0,3,172.72,175.26,155,32,0,0,1,0,images/shayan.jpeg
4,Aaron Rosa,02/03/2012,0,1,1,1,6,0,1,0,0,0,0,0,1,193.04,198.12,205,28,0,1,0,0,images/reza.jpeg
5,Aaron Simpson,05/10/2012,0,1,3,3,26,0,0,1,4,2,0,0,7,182.88,185.42,170,38,0,1,0,0,images/prat.jpeg
6,Abdul Razak Alhassan,08/09/2018,0,2,2,1,6,0,0,0,0,3,0,0,3,177.8,185.42,170,33,0,1,0,0,images/vikas.jpeg
7,Abdul-Kerim Edilov,02/09/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,187.96,198.12,205,25,0,1,0,0,images/mufi.jpeg
8,Abel Trujillo,16/12/2017,1,0,3,4,21,0,0,0,1,3,1,0,6,172.72,177.8,155,34,0,1,0,0,images/shayan.jpeg
9,Abu Azaitar,22/07/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,193.04,185,32,0,1,0,0,images/reza.jpeg
10,Adam Milstead,15/12/2018,2,0,1,2,7,0,0,0,0,1,0,0,1,190.5,193.04,205,31,0,1,0,0,images/prat.jpeg
11,Adam Wieczorek,03/11/2018,0,2,2,0,5,0,0,0,1,0,1,0,2,195.58,205.74,250,26,0,1,0,0,images/vikas.jpeg
12,Adam Yandiev,15/09/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,187.96,185,30,0,1,0,0,images/mufi.jpeg
13,Adlan Amagov,19/10/2013,0,1,1,0,3,0,0,0,1,0,0,0,1,187.96,193.04,170,26,0,1,0,0,images/shayan.jpeg
14,Adriano Martins,09/09/2017,1,0,3,2,11,0,0,1,0,2,1,0,4,177.8,182.88,155,34,0,0,1,0,images/reza.jpeg
15,Aiemann Zahabi,04/05/2019,1,0,1,1,6,0,0,0,1,0,0,0,1,172.72,172.72,135,31,0,1,0,0,images/prat.jpeg
16,Akbarh Arreola,14/11/2015,1,0,1,2,7,0,0,0,0,0,1,0,1,177.8,180.34,155,32,0,0,1,0,images/vikas.jpeg
17,Akihiro Gono,31/01/2009,1,0,1,1,5,0,0,0,0,0,1,0,1,170.18,172.72,170,34,0,0,0,1,images/mufi.jpeg
18,Akira Corassani,24/01/2015,2,0,3,2,10,0,0,1,1,0,0,0,3,172.72,172.72,145,32,0,1,0,0,images/shayan.jpeg
19,Al Iaquinta,04/05/2019,0,1,5,3,33,2,0,1,4,4,0,0,9,177.8,177.8,155,32,0,1,0,0,images/reza.jpeg
20,Alan Belcher,27/04/2013,1,0,4,5,28,0,0,1,0,4,3,1,9,187.96,185.42,185,29,0,1,0,0,images/prat.jpeg
21,Alan Jouban,13/04/2019,0,1,3,4,21,0,0,0,3,4,0,0,7,182.88,185.42,170,37,0,0,1,0,images/vikas.jpeg
22,Alan Omer,20/06/2015,1,0,0,1,3,0,0,0,0,0,0,0,0,177.8,180.34,145,26,0,1,0,0,images/mufi.jpeg
23,Alan Patrick,06/10/2018,0,3,3,1,15,0,0,0,4,1,0,0,5,180.34,187.96,155,35,0,0,1,0,images/shayan.jpeg
24,Albert Cheng,01/03/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,184.9560971,170,29,0,1,0,0,images/reza.jpeg
25,Albert Morales,24/02/2018,2,0,1,4,14,0,0,1,0,0,0,0,1,175.26,182.88,135,26,0,1,0,0,images/prat.jpeg
26,Albert Tumenov,08/10/2016,1,0,5,2,14,0,0,1,1,3,0,0,5,180.34,185.42,170,24,0,1,0,0,images/vikas.jpeg
27,Alberto Crane,23/01/2008,1,0,0,1,3,0,0,0,0,0,0,0,0,165.1,168.7767013,155,31,0,1,0,0,images/mufi.jpeg
28,Alberto Mina,12/05/2018,0,3,3,0,6,0,0,1,0,2,0,0,3,182.88,195.58,170,36,0,1,0,0,images/shayan.jpeg
29,Alberto Uda,20/08/2016,1,0,0,1,2,0,0,0,0,0,0,0,0,190.5,195.58,185,32,0,1,0,0,images/reza.jpeg
30,Alejandro Perez,02/03/2019,0,4,4,2,21,1,0,1,3,3,0,0,7,167.64,170.18,135,29,0,1,0,0,images/prat.jpeg
31,Aleksandar Rakic,01/06/2019,0,3,3,0,7,0,0,0,2,1,0,0,3,193.04,198.12,205,27,0,1,0,0,images/vikas.jpeg
32,Aleksei Kunchenko,01/12/2018,0,1,1,0,3,0,0,0,1,0,0,0,1,172.72,177.8,170,34,0,1,0,0,images/mufi.jpeg
33,Aleksei Oleinik,20/04/2019,0,2,2,2,12,0,0,0,0,1,5,0,6,187.96,203.2,240,41,0,1,0,0,images/shayan.jpeg
34,Alen Amedovski,20/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,187.96,185,31,0,1,0,0,images/reza.jpeg
35,Alessandro Ricci,19/02/2017,1,0,0,1,3,0,0,0,0,0,0,0,0,180.34,175.26,155,34,0,1,0,0,images/prat.jpeg
36,Alessio Di Chirico,06/07/2018,0,1,1,2,9,0,0,1,0,1,0,0,2,182.88,187.96,185,28,0,1,0,0,images/vikas.jpeg
37,Alessio Sakara,26/10/2013,3,0,3,8,21,0,0,1,1,4,0,0,6,182.88,182.88,185,32,0,1,0,0,images/mufi.jpeg
38,Alex Caceres,17/02/2019,0,1,2,10,51,0,0,3,3,0,2,1,9,177.8,185.42,145,30,0,0,1,0,images/shayan.jpeg
39,Alex Da Silva,20/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,185.42,155,23,0,1,0,0,images/reza.jpeg
40,Alex Garcia,27/10/2018,1,0,2,4,22,0,0,1,1,2,1,0,5,175.26,182.88,170,31,0,1,0,0,images/prat.jpeg
41,Alex Gorgees,01/12/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,187.96,187.96,155,23,0,0,0,1,images/vikas.jpeg
42,Alex Karalexis,16/01/2006,1,0,1,1,3,0,0,0,0,1,0,0,1,172.72,167.64,155,28,0,1,0,0,images/mufi.jpeg
43,Alex Morono,09/03/2019,0,1,2,3,18,0,0,1,2,0,1,0,4,180.34,182.88,170,28,0,1,0,0,images/shayan.jpeg
44,Alex Nicholson,28/05/2017,1,0,1,2,6,0,0,0,0,1,0,0,1,193.04,205.74,185,27,0,1,0,0,images/reza.jpeg
45,Alex Oliveira,27/04/2019,1,0,3,5,30,0,0,0,2,4,3,0,9,180.34,193.04,170,31,0,1,0,0,images/prat.jpeg
46,Alex Perez,30/03/2019,1,0,3,1,7,0,0,0,1,1,1,0,3,167.64,165.1,135,27,0,1,0,0,images/vikas.jpeg
47,Alex Reyes,16/09/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,185.42,170,30,0,1,0,0,images/mufi.jpeg
48,Alex Schoenauer,09/04/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,195.7423609,185,28,0,1,0,0,images/shayan.jpeg
49,Alex Soto,15/05/2012,1,0,0,1,1,0,0,0,0,0,0,0,0,172.72,180.34,135,28,0,0,1,0,images/reza.jpeg
50,Alex Torres,28/02/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,177.8,145,26,0,1,0,0,images/prat.jpeg
51,Alex White,09/03/2019,2,0,1,5,19,0,0,0,1,2,0,0,3,182.88,180.34,155,30,0,0,1,0,images/vikas.jpeg
52,Alexa Grasso,08/06/2019,1,0,1,2,10,0,0,1,1,0,0,0,2,165.1,167.64,115,25,0,1,0,0,images/mufi.jpeg
53,Alexander Gustafsson,01/06/2019,1,0,6,5,38,3,0,0,3,5,2,0,10,195.58,200.66,205,32,0,1,0,0,images/shayan.jpeg
54,Alexander Hernandez,19/01/2019,0,2,2,0,4,0,0,0,1,1,0,0,2,175.26,182.88,155,26,0,1,0,0,images/reza.jpeg
55,Alexander Volkanovski,11/05/2019,0,6,6,0,15,0,0,0,3,3,0,0,6,167.64,180.34,145,30,0,1,0,0,images/prat.jpeg
56,Alexander Volkov,06/10/2018,0,4,4,0,13,0,0,1,1,2,0,0,4,200.66,203.2,250,29,0,1,0,0,images/vikas.jpeg
57,Alexander Yakovlev,20/04/2019,2,0,2,4,15,0,0,0,1,1,0,0,2,190.5,187.96,155,34,0,0,1,0,images/mufi.jpeg
58,Alexandra Albu,29/07/2017,0,1,1,0,2,0,0,0,0,0,1,0,1,157.48,160.02,115,27,0,1,0,0,images/shayan.jpeg
59,Alexandre Barros,17/01/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,179.5629652,170,32,0,0,1,0,images/reza.jpeg
60,Alexandre Dantas,28/02/2003,1,0,0,1,3,0,0,0,0,0,0,0,0,187.96,193.045795,238,23,0,1,0,0,images/prat.jpeg
61,Alexandre Ferreira,13/11/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,174.1698333,205,31,0,1,0,0,images/vikas.jpeg
62,Alexandre Pantoja,13/04/2019,0,2,2,1,13,0,0,1,1,0,2,0,4,165.1,170.18,125,28,0,1,0,0,images/mufi.jpeg
63,Alexis Davis,23/03/2019,1,0,3,3,23,1,0,2,3,0,1,0,6,167.64,172.72,125,34,0,1,0,0,images/shayan.jpeg
64,Alexis Dufresne,03/01/2015,1,0,0,1,3,0,0,0,0,0,0,0,0,175.26,172.72,135,24,0,1,0,0,images/reza.jpeg
65,Ali Bagautinov,19/11/2016,0,1,3,2,20,1,0,0,3,1,0,0,4,162.56,165.1,125,31,0,1,0,0,images/prat.jpeg
66,Alistair Overeem,20/04/2019,0,1,4,6,29,1,1,0,2,6,0,0,9,193.04,203.2,265,38,0,1,0,0,images/vikas.jpeg
67,Aljamain Sterling,08/06/2019,0,3,4,3,32,0,0,0,5,1,3,0,9,170.18,180.34,135,29,0,1,0,0,images/mufi.jpeg
68,Allan Goes,15/05/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,187.6526631,205,27,0,1,0,0,images/shayan.jpeg
69,Allan Zuniga,06/07/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,177.8,155,26,0,1,0,0,images/reza.jpeg
70,Allen Berube,23/06/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,176.8663992,155,32,0,1,0,0,images/prat.jpeg
71,Allen Crowder,19/01/2019,1,0,0,1,1,0,0,0,0,0,0,0,0,190.5,193.04,245,29,0,1,0,0,images/vikas.jpeg
72,Alonzo Menifield,19/01/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,193.04,205,31,0,1,0,0,images/mufi.jpeg
73,Alptekin Ozkilic,09/05/2015,2,0,1,2,9,0,0,1,0,0,0,0,1,165.1,165.1,125,29,0,1,0,0,images/shayan.jpeg
74,Alvin Robinson,15/11/2008,1,0,1,2,5,0,0,0,1,0,0,0,1,175.26,172.72,155,26,0,0,1,0,images/reza.jpeg
75,Amanda Cooper,10/11/2018,1,0,1,3,8,1,0,0,1,1,0,0,2,160.02,162.56,115,27,0,0,0,1,images/prat.jpeg
76,Amanda Lemos,16/07/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,162.56,165.1,135,30,0,0,1,0,images/vikas.jpeg
77,Amanda Nunes,29/12/2018,0,7,7,1,22,4,0,1,1,5,2,0,9,172.72,175.26,145,30,0,1,0,0,images/mufi.jpeg
78,Amar Suloev,10/05/2002,1,0,0,1,3,0,0,0,0,0,0,0,0,175.26,179.5629652,183,25,0,1,0,0,images/shayan.jpeg
79,Amilcar Alves,22/01/2011,1,0,0,1,3,0,0,0,0,0,0,0,0,182.88,187.6526631,170,22,0,0,1,0,images/reza.jpeg
80,Amir Sadollah,20/09/2014,1,0,2,4,25,1,0,1,3,1,1,0,6,177.8,187.96,170,34,0,1,0,0,images/prat.jpeg
81,An Ying Wang,23/08/2014,0,1,1,0,1,0,0,0,0,0,0,1,1,182.88,187.6526631,170,23,0,1,0,0,images/vikas.jpeg
82,Anderson Dos Santos,17/11/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,165.1,177.8,135,33,0,1,0,0,images/mufi.jpeg
83,Anderson Silva,11/05/2019,1,0,16,6,58,13,0,0,3,11,3,0,17,187.96,195.58,185,44,0,0,1,0,images/shayan.jpeg
84,Andre Ewell,29/12/2018,0,1,1,0,3,0,0,1,0,0,0,0,1,172.72,190.5,135,30,0,0,1,0,images/reza.jpeg
85,Andre Fili,17/02/2019,1,0,2,5,27,0,0,1,3,2,0,0,6,180.34,187.96,145,28,0,1,0,0,images/prat.jpeg
86,Andre Gusmao,23/05/2009,1,0,0,1,3,0,0,0,0,0,0,0,0,182.88,187.6526631,205,32,0,1,0,0,images/vikas.jpeg
87,Andre Pederneiras,16/07/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,176.8663992,155,32,0,1,0,0,images/mufi.jpeg
