Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_longest_win_streak,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_longest_win_streak,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch
Red,TRUE,5,0,4,4,1,0,0,1,0,2,1,0,4,167.64,170.18,135,0,4,4,2,3,0,2,4,2,0,0,8,162.56,162.56,135,31,32,0,1,0,0,0,1,0,0
Red,TRUE,5,0,3,3,6,0,0,2,1,0,0,1,4,167.64,167.64,125,0,2,2,2,2,0,1,2,0,2,0,5,165.1,167.64,125,32,31,0,1,0,0,0,0,1,0
Red,FALSE,3,0,3,8,8,1,0,0,7,10,6,0,23,185.42,185.42,155,0,11,11,1,2,0,1,3,3,6,1,14,180.34,193.04,155,36,35,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,4,4,0,0,0,0,2,2,0,0,4,170.18,170.18,135,1,0,5,2,0,0,1,4,1,0,0,6,162.56,172.72,135,26,29,0,0,0,1,0,1,0,0
Blue,FALSE,3,0,1,1,1,0,0,0,1,0,0,0,1,180.34,185.42,250,1,0,3,1,0,0,0,1,2,0,0,3,187.96,190.5,264,32,26,0,0,1,0,0,0,1,0
Red,FALSE,3,0,4,4,2,0,0,0,3,0,1,0,4,165.1,162.56,115,0,4,4,0,1,0,0,1,1,2,0,4,165.1,167.64,115,33,28,0,1,0,0,0,1,0,0
Red,FALSE,3,0,3,4,4,0,0,0,2,3,3,0,8,167.64,165.1,135,0,3,4,3,0,0,0,5,1,3,0,9,170.18,180.34,135,32,29,0,1,0,0,0,1,0,0
Blue,FALSE,3,1,0,1,2,0,0,1,1,0,0,0,2,165.1,167.64,115,2,0,3,4,1,0,2,3,0,0,0,5,160.02,162.56,115,25,33,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,1,2,1,0,0,0,1,2,0,0,3,180.34,182.88,145,0,1,4,5,1,0,0,3,4,3,0,10,172.72,180.34,145,31,37,0,1,0,0,0,1,0,0
Red,FALSE,3,0,1,1,6,0,0,0,4,0,0,0,4,160.02,162.56,115,0,3,3,0,0,0,0,3,0,0,0,3,165.1,160.02,115,34,29,0,1,0,0,0,1,0,0
